INSTNM,CITY,STABBR,ADM_RATE,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SAT_AVG,UGDS,COSTT4_A
California College San Diego,San Marcos,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,250,32068
Jolie Hair and Beauty Academy-Northfield,Northfield,NJ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,129,NULL
Hays Academy of Hair Design,Salina,KS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL
Bellus Academy,Manhattan,KS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,182,NULL
MotoRing Technical Training Institute,East Providence,RI,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,73,NULL
Columbia College,Centreville,VA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,228,NULL
Unitek College,Hayward,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,153,NULL
Pennsylvania State University-World Campus,University Park,PA,NULL,NULL,NULL,NULL,NULL,450,560,NULL,0,NULL
Medical Career Institute,Ocean,NJ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,171,NULL
Advance Beauty Techs Academy,San Jacinto,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,122,NULL
Elevate Salon Institute-Westminster,Westminster,CO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,49,NULL
Brand College,Glendale,CA,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24,NULL
Hinton Barber and Beauty College,Vallejo,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,56,NULL
Advanced Career Institute,Visalia,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,637,NULL
Digital Film Academy,New York,NY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,182,NULL
MyComputerCareer.edu-Raleigh,Raleigh,NC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2043,NULL
South University-Austin,Round Rock,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,347,31065
Bryant & Stratton College-Online,Orchard Park,NY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5021,19758
Ogle School Hair Skin Nails-San Antonio,San Antonio,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,338,NULL
Ideal Beauty Academy,Louisville,KY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL
Minnesota School of Cosmetology-Plymouth Campus,Plymouth,MN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,116,NULL
Mercyhurst University-North East Campus,North East,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,566,29624
Warner Pacific University Professional and Graduate Studies,Portland,OR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,329,NULL
Platt College-Riverside,Riverside,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,473,32028
Savannah Law School,Savannah,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Empire Beauty School-Glen Burnie,Glen Burnie,MD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88,NULL
International School of Cosmetology,Scottsdale,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48,NULL
United Education Institute-UEI College Stockton,Stockton,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,679,NULL
Shiloh University,Kalona,IA,0.3333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL
Ross Medical Education Center-Dayton,Dayton,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,103,NULL
Ross Medical Education Center-Ontario,Ontario,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,77,NULL
Ross Medical Education Center-Bowling Green,Bowling Green,KY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78,NULL
Florida Institute of Technology-Online,Melbourne,FL,0.9921,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1164,NULL
Rasmussen University-Kansas,Topeka,KS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,611,22788
Columbia Institute,Silver Spring,MD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,205,NULL
School of Missionary Aviation Technology,Ionia,MI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,NULL
Ace Cosmetology and Barber Training Center,Waterbury,CT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,211,NULL
California Miramar University,San Diego,CA,0.3143,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86,20830
Rocky Vista University,Parker,CO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
The College of Health Care Professions-Dallas,Dallas,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,307,NULL
The College of Health Care Professions-Fort Worth,Fort Worth,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,508,NULL
Shear Finesse Beauty Academy,Jacksonville,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,NULL
Miami Media School,Doral,FL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86,NULL
Academy of Salon Professionals,Sedalia,MO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42,NULL
CyberTex Institute of Technology,Austin,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,159,NULL
New England Tractor Trailer Training School of CT-Bridgeport,Bridgeport,CT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,302,NULL
Gemini School of Visual Arts & Communication,Cedar Park,TX,0.3333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL
Designer Barber & Stylist School,Ft Smith,AR,0.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61,NULL
Paul Mitchell the School-Woodbridge,Woodbridge,VA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,159,NULL
College of the Muscogee Nation,Okmulgee,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,192,20511
The Salon Professional Academy-Huntsville,Huntsville,AL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83,NULL
Midwives College of Utah,Salt Lake City,UT,0.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,213,26724
Aspen Beauty Academy of Laurel,Laurel,MD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69,NULL
M T Training Center,Grand Prairie,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,171,NULL
Berks Career & Technology Center,Leesport,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,52,NULL
Future Generations University,Franklin,WV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Carthage R9 School District-Carthage Technical Center,Carthage,MO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,NULL
Grace Mission University,Fullerton,CA,0.8224,NULL,NULL,NULL,NULL,NULL,NULL,NULL,121,17944
Verve College,Oak Brook,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,147,NULL
Sotheby's Institute of Art-NY,New York,NY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Top Nails & Hair Beauty School,Taylorsville,UT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,125,NULL
Santa Ana Beauty College,Santa Ana,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,101,NULL
Shepherds College,Union Grove,WI,0.902,NULL,NULL,NULL,NULL,NULL,NULL,NULL,95,NULL
Woodruff Medical Training and Testing,Tucker,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,56,NULL
Helms College,Macon,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,349,24531
Ukiah Adult School,Ukiah,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
Riverside County Office of Education-School of Career Education,Riverside,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,291,NULL
Institute of Health Sciences,Hunt Valley,MD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,124,27600
Mid-South Christian College,Memphis,TN,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24,17289
New York Institute of Beauty,Islandia,NY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,206,NULL
Ultrasound Medical Institute,Royal Palm Beach,FL,0.9048,NULL,NULL,NULL,NULL,NULL,NULL,NULL,89,NULL
Xavier College School of Nursing,Stockton,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81,NULL
Lawrence & Company College of Cosmetology,Hanford,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48,NULL
Kaizen Beauty Academy,Pembroke Pines,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,NULL
Southern Texas Careers Academy,McAllen,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,38,NULL
Sharp Edgez Barber Institute,Rochester,NY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,96,NULL
The Salon Professional Academy-Nashville,Nashville,TN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48,NULL
Prestige Health & Beauty Sciences Academy,North Miami Beach,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL
California Career Institute,Anaheim,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,147,NULL
Grace School of Theology,Conroe,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,223,26956
Yeshiva Gedolah Kesser Torah,Monsey,NY,0.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83,19300
Universal Training Institute,Perth Amboy,NJ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,172,NULL
Yeshiva Yesodei Hatorah,Lakewood,NJ,0.8684,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61,19022
Center for the Healing Arts,Voorhees,NJ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,36,NULL
Bonnie Joseph Academy of Cosmetology & Barbering,Heber City,UT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL
Healthcare Training Institute,Kenner,LA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80,NULL
J D Academy of Salon and Spa,Danville,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,128,NULL
Boca Beauty Academy,Boca Raton,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,NULL
Paul Mitchell the School-Jersey Shore,Brick,NJ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70,NULL
City Pointe Beauty Academy,Webb City,MO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,101,NULL
The Chrysm Institute of Esthetics,Virginia Beach,VA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,166,NULL
Belle Academy of Cosmetology LLC,Waterbury,CT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL
Empire Beauty School-Augusta,Augusta,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82,NULL
South University-High Point,High Point,NC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Empire Beauty School-Vernon Hills,Vernon Hills,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,64,NULL
Empire Beauty School-Stone Park,Stone Park,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,119,NULL
Empire Beauty School-Rochester,Rochester,NY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,73,NULL
Ross Medical Education Center-Kokomo,Kokomo,IN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79,NULL
Ross Medical Education Center-Erlanger,Erlanger,KY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,101,NULL
Ross Medical Education Center-Charleston,Charleston,WV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,141,NULL
InterCoast Colleges-Fairfield,Fairfield,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,136,NULL
Southern Careers Institute-San Antonio,San Antonio,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,438,NULL
Milan Institute-Merced,Merced,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,319,NULL
Midwest Technical Institute-Springfield,Springfield,MO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,438,NULL
Augusta University,Augusta,GA,0.7593,520,615,500,590,NULL,NULL,1119,5241,18844
Middle Georgia State University,Macon,GA,0.9416,450,550,430,540,NULL,NULL,990,7123,15653
Trenz Beauty Academy,Calumet City,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,118,NULL
Paul Mitchell the School-Denver,Lakewood,CO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,174,NULL
Academy of Interactive Entertainment,Seattle,WA,0.9231,NULL,NULL,NULL,NULL,NULL,NULL,NULL,163,32546
Arrojo Cosmetology School,New York,NY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL
Cosmetology Academy of Texarkana,Texarkana,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,75,NULL
Veritas Baptist College,Greendale,IN,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,168,18201
Lynnes Welding Training,Fargo,ND,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32,NULL
Aviation Institute of Maintenance-Las Vegas,Las Vegas,NV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,352,27591
UEI College-Bakersfield,Bakersfield,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,990,NULL
National American University-Georgetown,Georgetown,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26,20184
National American University-Richardson,Richardson,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
National American University-Indianapolis,Indianapolis,IN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,56,16602
DeVry College of New York,New York,NY,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,832,34739
DeVry University-Arizona,Phoenix,AZ,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,267,34833
DeVry University-California,Ontario,CA,0.9545,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1682,32427
DeVry University-Colorado,Westminster,CO,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,118,38223
DeVry University-Florida,Miramar,FL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,548,36210
DeVry University-Georgia,Decatur,GA,0.9302,NULL,NULL,NULL,NULL,NULL,NULL,NULL,798,34247
DeVry University-Illinois,Chicago,IL,0.9572,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13965,34334
DeVry University-Indiana,Merrillville,IN,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,NULL
DeVry University-Missouri,Kansas City,MO,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61,24439
DeVry University-Nevada,Henderson,NV,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,54,37747
DeVry University-New Jersey,Iselin,NJ,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,219,29925
DeVry University-North Carolina,Charlotte,NC,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,47,NULL
DeVry University-Ohio,Columbus,OH,0.96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,439,31426
DeVry University-Pennsylvania,Ft. Washington,PA,0.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,128,37889
DeVry University-Tennessee,Nashville,TN,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,24757
DeVry University-Texas,Irving,TX,0.8462,NULL,NULL,NULL,NULL,NULL,NULL,NULL,314,36036
DeVry University-Virginia,Arlington,VA,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,150,37959
University of North Georgia,Dahlonega,GA,0.8148,500,610,490,580,NULL,NULL,1102,17488,16579
South Georgia State College,Douglas,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1992,15550
Northeastern University Lifelong Learning Network,Boston,MA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1898,NULL
Florida Polytechnic University,Lakeland,FL,0.5004,600,670,600,690,NULL,NULL,1304,1263,21570
American Institute-Toms River,Toms River,NJ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,335,NULL
The Healthcare Institute,San Antonio,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29,NULL
Alamo City Barber College,San Antonio,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,144,NULL
Arizona College-Mesa,Mesa,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,246,32730
American College of Healthcare and Technology,Huntington Park,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,75,NULL
Antioch College,Yellow Springs,OH,0.8165,NULL,NULL,NULL,NULL,NULL,NULL,NULL,95,52562
Texas A&M University-Central Texas,Killeen,TX,0.9744,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1944,NULL
Central Georgia Technical College,Warner Robins,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6044,8567
Barber School of Pittsburgh,Pittsburgh,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,97,NULL
Innovate Salon Academy,South Plainfield,NJ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,173,NULL
Arizona State University Digital Immersion,Scottsdale,AZ,0.6379,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34383,24805
Louisiana Delta Community College,Monroe,LA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3347,14175
The Fab School,Rancho Cucamonga,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,148,NULL
Networks Barber College,Calumet City,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,36,NULL
JB's Hair Design and Barber College,Oklahoma City,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,44,NULL
Paul Mitchell the School-Lombard,Lombard,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,125,NULL
Paul Mitchell the School-Greenville,Greenville,SC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,166,NULL
Divine Crown Barber & Beauty Academy,Harrisburg,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33,NULL
Delta College of Arts & Technology-Lafayette Campus,Lafayette,LA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,160,NULL
Delta College-Slidell Campus,Slidell,LA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,104,NULL
Integrity College of Health,Pasadena,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30,NULL
Electrical Training Center,Copiague,NY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,192,NULL
Alexander Paul Institute of Hair Design,Greenville,NC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,44,NULL
California Technical Academy,Riverside,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,715,NULL
More Tech Institute,Hialeah,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL
Dorsey School of Business-Dearborn,Detroit,MI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,381,32807
Neecee's Barber College,Abilene,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,47,NULL
Bella Cosmetology and Barber College,Greenville,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,105,NULL
Franklin Hair Academy School of Cosmetology,Franklin,TN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34,NULL
California International Business University,San Diego,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL
Universidad Ana G. Mendez-Online Campus,San Juan,PR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,515,NULL
New Horizons Medical Institute,Norcross,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39,NULL
Ohio Institute of Allied Health,Huber Heights,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46,29032
Paul Mitchell the School-Ardmore,Ardmore,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,NULL
Access Careers,Hempstead,NY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,52,NULL
River Valley Cosmetology Institute,Poteau,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL
Luckes Beauty Academy LLC,Newport  News,VA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,35,NULL
Total Transformation Institute of Cosmetology,San Marcos,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL
Vibe Barber College,Memphis,TN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,71,NULL
Champ's Barber School,Lancaster,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26,NULL
IGlobal University,Vienna,VA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,71,22722
East-West Healing Arts Institute,Madison,WI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,49,NULL
Standard Healthcare Services-College of Nursing,Falls Church,VA,0.4375,NULL,NULL,NULL,NULL,NULL,NULL,NULL,417,NULL
Philadelphia Technician Training,Philadelphia,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,545,NULL
Grace International Beauty School,Flushing,NY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69,NULL
Alliance Computing Solutions,Flushing,NY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL
InterAmerican Technical Institute,Miami,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,77,NULL
Bay Area Medical Academy,San Francisco,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,101,NULL
Mind Body Institute,Madison,TN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,52,NULL
Parisian Spa Institute,Jacksonville,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,165,NULL
Creative Touch Cosmetology School,Waterloo,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
LaBarberia Institute of Hair,Mayfield Hts,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,68,NULL
Setting the Standard Barbering and Natural Hair Academy,Shreveport,LA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24,NULL
Bos-Man's Barber College,Shreveport,LA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,NULL
Lawrence & Company College of Cosmetology,Selma,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41,NULL
Alabama College of Osteopathic Medicine,Dothan,AL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
High Desert Medical College,Lancaster,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,704,NULL
Paul Mitchell the School-Schenectady,Schenectady,NY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,108,NULL
Beyond Measure Barbering Institute,Mebane,NC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39,NULL
McDougle Technical  Institute,Pompano Beach,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,189,NULL
Barber Institute of Texas,Longview,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL
Jupiter Beauty Academy,Boston,MA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,157,NULL
MedQuest College,Louisville,KY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,410,NULL
First Coast Barber Academy,Jacksonville,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46,NULL
Debutantes School of Cosmetology and Nail Technology,Dekalb,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,74,NULL
Paul Mitchell The School-Farmington Hills,Farmington Hills,MI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,129,NULL
Paul Mitchell the School-Merrillville,Merrillville,IN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81,NULL
Ricci's Academy of Cosmetology,Newtown,CT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,NULL
Yahweh Beauty Academy,Killeen,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34,NULL
Arizona School of Integrative Studies,Tucson,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,305,NULL
Lee Professional Institute,Fort Myers,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL
Park Place Premier Barber School,New Orleans,LA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,NULL
The Salon Professional Academy-San Jose,San Jose,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,174,NULL
Tri-Community Adult Education,Covina,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,262,NULL
Jolie Health and Beauty Academy-Turnersville,Turnersville,NJ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,56,NULL
Ross Medical Education Center-Owensboro,Owensboro,KY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,NULL
Ross Medical Education Center-Evansville,Evansville,IN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84,NULL
Ross Medical Education Center-Johnson City,Johnson City,TN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,109,NULL
North-West College-Anaheim,Anaheim,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,204,NULL
North-West College-Long Beach,Long Beach,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,299,NULL
Branford Hall Career Institute-Amityville,Amityville,NY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,172,NULL
Taylor Andrews Academy of Hair Design-Provo,Provo,UT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,181,NULL
University of Florida-Online,Gainesville,FL,0.3202,600,670,570,660,520,620,1259,3327,17164
Ogle School Hair Skin Nails-Stafford,Stafford,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,447,NULL
University of Phoenix-Arizona,Phoenix,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,68833,18427
University of Phoenix-California,Ontario,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3697,18188
University of Phoenix-Florida,Miramar,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86,NULL
University of Phoenix-Georgia,Atlanta,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,52,NULL
University of Phoenix-Michigan,Southfield,MI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
University of Phoenix-Nevada,Las Vegas,NV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,182,NULL
University of Phoenix-North Carolina,Charlotte,NC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,NULL
University of Phoenix-Texas,Houston,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,388,18832
University of Phoenix-Virginia,Virginia Beach,VA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL
University of Phoenix-Pennsylvania,Philadelphia,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL
Tint School of Makeup & Cosmetology-Seattle,Seattle,WA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69,NULL
