INSTNM,CITY,STABBR,ADM_RATE,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SAT_AVG,UGDS,COSTT4_A
University of California-Berkeley,Berkeley,CA,0.1625,650,740,680,790,630,760,1449,31345,37852
University of California-Davis,Davis,CA,0.3887,580,680,590,730,530,650,1298,30962,34752
University of California-Irvine,Irvine,CA,0.2654,570,670,600,750,510,620,1306,30367,33325
University of California-Los Angeles,Los Angeles,CA,0.1232,650,740,650,790,590,730,1429,31537,34366
University of California-Riverside,Riverside,CA,0.5652,570,650,560,680,510,630,1239,22015,33368
University of California-San Diego,La Jolla,CA,0.3148,620,710,630,780,600,710,1375,30789,32434
University of California-San Francisco,San Francisco,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
University of California-Santa Barbara,Santa Barbara,CA,0.2956,620,710,610,770,510,630,1370,23337,36319
University of California-Santa Cruz,Santa Cruz,CA,0.5131,600,670,600,710,510,630,1306,17517,36115
Sofia University,Palo Alto,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL
California Beauty School,Modesto,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,105,NULL
California Christian College,Fresno,CA,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,14861
Haven University,Garden Grove,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL
California Hair Design Academy,La Mesa,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,128,NULL
California Institute of the Arts,Valencia,CA,0.2528,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1015,71382
California State University Maritime Academy,Vallejo,CA,0.7621,NULL,NULL,NULL,NULL,NULL,NULL,NULL,911,27259
California Western School of Law,San Diego,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Canada College,Redwood City,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4811,9638
College of the Canyons,Santa Clarita,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16902,11311
Career Academy of Beauty,Garden Grove,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,159,NULL
Casa Loma College-Van Nuys,Van Nuys,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,162,NULL
CET-San Diego,San Diego,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,170,NULL
CET-San Jose,San Jose,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,229,NULL
CET-El Centro,El Centro,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,217,NULL
CET-Colton,Colton,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,166,NULL
CET-Watsonville,Watsonville,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,116,NULL
CET-Salinas,Salinas,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,144,NULL
Cerritos College,Norwalk,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21339,8665
Cerro Coso Community College,Ridgecrest,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4352,14278
